Date,Code
10/09/2025,4347
10/09/2025,2771
10/09/2025,7107
10/09/2025,4597
10/10/2025,1379
10/10/2025,6329
13/10/2025,4531
13/10/2025,5960
14/10/2025,2312
14/10/2025,8381
19/10/2025,5310
19/10/2025,5419
20/10/2025,6077
20/10/2025,8178
27/10/2025,2721
27/10/2025,1630
28/10/2025,4417
28/10/2025,5049
29/10/2025,1445
29/10/2025,5297
31/10/2025,8607
31/10/2025,7482
03/11/2025,2707
03/11/2025,6212
04/11/2025,7648
04/11/2025,4343
04/11/2025,7530
04/11/2025,5163
07/11/2025,8662
09/11/2025,1403
10/11/2025,7441
10/11/2025,5524
10/11/2025,7170
10/11/2025,4779
10/11/2025,2447
10/11/2025,4225
25/11/2025,4417
25/11/2025,4307
08/12/2025,4270
08/12/2025,4549
09/12/2025,7070
10/12/2025,9710
10/12/2025,0314
11/12/2025,6302
11/12/2025,7850
11/12/2025,7504
11/12/2025,7470
12/12/2025,6110
12/12/2025,4046
14/12/2025,4408
14/12/2025,6658
15/12/2025,5509
15/12/2025,4151
16/12/2025,2827
16/12/2025,6095
11/01/2026,0262
13/01/2026,7978
13/01/2026,1544
13/01/2026,4111
19/01/2026,4417
19/01/2026,4111
19/01/2026,5503
24/01/2026,4417
26/01/2026,4417
26/01/2026,0244
26/01/2026,9656
26/01/2026,4642
26/01/2026,4747
26/01/2026,6012
27/01/2026,6590
27/01/2026,9301
02/02/2026,4487
02/02/2026,7111
04/02/2026,0430
04/02/2026,8893
04/02/2026,2843
04/02/2026,1008
07/02/2026,4460
07/02/2026,4547
07/02/2026,8301
07/02/2026,1060
09/02/2026,4447
09/02/2026,6744
15/02/2026,6071
13/02/2026,3407
13/02/2026,6547
17/02/2026,4731
27/02/2026,8380
27/02/2026,6144
27/02/2026,4235
03/02/2026,7510
03/03/2026,8743
03/03/2026,8323
03/03/2026,7494
03/03/2026,1237
